Common Name,Scientific Name
Saltmarsh Sparrow,Ammospiza caudacuta
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Peregrine Falcon,Falco peregrinus
King Rail,Rallus elegans
Purple Martin,Progne subis
Black-crowned Night Heron,Nycticorax nycticorax
Glossy Ibis,Plegadis falcinellus
American Oystercatcher,Haematopus palliatus
Carolina Wren,Thryothorus ludovicianus
Least Tern,Sternula antillarum
Bobolink,Dolichonyx oryzivorus
Marsh Wren,Cistothorus palustris
Willow Flycatcher,Empidonax traillii
Least Bittern,Botaurus exilis
Least Sandpiper,Calidris minutilla
Canada Warbler,Cardellina canadensis
Magnolia Warbler,Setophaga magnolia
Northern House Wren,Troglodytes aedon
Eastern Towhee,Pipilo erythrophthalmus
Eastern Kingbird,Tyrannus tyrannus
Common Tern,Sterna hirundo
Lesser Black-backed Gull,Larus fuscus
Semipalmated Plover,Charadrius semipalmatus
Killdeer,Charadrius vociferus
Spotted Sandpiper,Actitis macularius
Red-eyed Vireo,Vireo olivaceus
Laughing Gull,Leucophaeus atricilla
Osprey,Pandion haliaetus
Snowy Egret,Egretta thula
Ruby-throated Hummingbird,Archilochus colubris
Northern Parula,Setophaga americana
Veery,Catharus fuscescens
Scarlet Tanager,Piranga olivacea
Great Crested Flycatcher,Myiarchus crinitus
Bald Eagle,Haliaeetus leucocephalus
Turkey Vulture,Cathartes aura
Lesser Yellowlegs,Tringa flavipes
Pine Warbler,Setophaga pinus
American Redstart,Setophaga ruticilla
Common Yellowthroat,Geothlypis trichas
Brown-headed Cowbird,Molothrus ater
Orchard Oriole,Icterus spurius
Barn Swallow,Hirundo rustica
Tree Swallow,Tachycineta bicolor
Eastern Warbling Vireo,Vireo gilvus
Blue-headed Vireo,Vireo solitarius
Eastern Wood-Pewee,Contopus virens
Rose-breasted Grosbeak,Pheucticus ludovicianus
Yellow-rumped Warbler,Setophaga coronata
Blackpoll Warbler,Setophaga striata
Swainson's Thrush,Catharus ustulatus
Cedar Waxwing,Bombycilla cedrorum
American Crow,Corvus brachyrhynchos
Broad-winged Hawk,Buteo platypterus
Chimney Swift,Chaetura pelagica
Black-throated Green Warbler,Setophaga virens
Northern Yellow Warbler,Setophaga aestiva
Wood Thrush,Hylocichla mustelina
Great Blue Heron,Ardea herodias
Rock Pigeon,Columba livia
Baltimore Oriole,Icterus galbula
Swamp Sparrow,Melospiza georgiana
Savannah Sparrow,Passerculus sandwichensis
Northern Mockingbird,Mimus polyglottos
Great Egret,Ardea alba
Willet,Tringa semipalmata
Piping Plover,Charadrius melodus
Blue Jay,Cyanocitta cristata
Chipping Sparrow,Spizella passerina
Blue-gray Gnatcatcher,Polioptila caerulea
Eurasian Nuthatch,Sitta europaea
European Robin,Erithacus rubecula
Graylag Goose,Anser anser
Ring-necked Pheasant,Phasianus colchicus
European Herring Gull,Larus argentatus
Black-headed Gull,Chroicocephalus ridibundus
Mute Swan,Cygnus olor
Great Crested Grebe,Podiceps cristatus
Great Tit,Parus major
Mallard,Anas platyrhynchos
Eurasian Jackdaw,Coloeus monedula
Carrion Crow,Corvus corone
Gray Heron,Ardea cinerea
Great Cormorant,Phalacrocorax carbo
Eurasian Coot,Fulica atra
Egyptian Goose,Alopochen aegyptiaca
Eurasian Magpie,Pica pica
Red-winged Blackbird,Agelaius phoeniceus
American Goldfinch,Spinus tristis
American Robin,Turdus migratorius
Gray Catbird,Dumetella carolinensis
Northern Flicker,Colaptes auratus
Mourning Dove,Zenaida macroura
Manx Shearwater,Puffinus puffinus
Great Black-backed Gull,Larus marinus
American Herring Gull,Larus smithsonianus
Ring-billed Gull,Larus delawarensis
Red-breasted Merganser,Mergus serrator
Hooded Merganser,Lophodytes cucullatus
American Black Duck,Anas rubripes
American Woodcock,Scolopax minor
Common Grackle,Quiscalus quiscula
Tufted Titmouse,Baeolophus bicolor
House Finch,Haemorhous mexicanus
Downy Woodpecker,Dryobates pubescens
Red-bellied Woodpecker,Melanerpes carolinus
Double-crested Cormorant,Nannopterum auritum
Northern Shoveler,Spatula clypeata
House Sparrow,Passer domesticus
White-throated Sparrow,Zonotrichia albicollis
Snow Goose,Anser caerulescens
Song Sparrow,Melospiza melodia
White-breasted Nuthatch,Sitta carolinensis
Black-capped Chickadee,Poecile atricapillus
Red-tailed Hawk,Buteo jamaicensis
Wild Turkey,Meleagris gallopavo
Northern Cardinal,Cardinalis cardinalis
Hairy Woodpecker,Leuconotopicus villosus
Canada Goose,Branta canadensis
European Starling,Sturnus vulgaris
Purple Sandpiper,Calidris maritima
Greater Scaup,Aythya marila
White-winged Scoter,Melanitta deglandi
Common Eider,Somateria mollissima
Brant,Branta bernicla
Cooper's Hawk,Astur cooperii
Dark-eyed Junco,Junco hyemalis
tern sp.,Sterninae sp.
new world flycatcher sp.,Tyrannidae sp.
